20240130T,1,9,-9,1,0
20240131T,-1,9,-9,1,0
20240201T,1,9,-9,1,0
20240202T,1,9,-9,1,0
20240205T,1,9,-9,1,0
20240206T,1,9,-9,1,0
20240207T,1,9,-9,1,0
20240208T,1,9,-9,1,0
20240209T,1,9,-9,1,0
20240212T,1,9,-9,1,0
20240213T,-1,9,-9,1,0
20240214T,1,9,-9,1,0
20240215T,1,9,-9,1,0
20240216T,-1,9,-9,1,0
20240220T,-1,9,-9,1,0
20240221T,-1,9,-9,1,0
20240222T,1,9,-9,1,0
20240223T,1,9,-9,1,0
20240226T,1,9,-9,1,0
20240227T,1,9,-9,1,0
20240228T,-1,9,-9,1,0
20240229T,1,9,-9,1,0
20240301T,1,9,-9,1,0
20240304T,-1,9,-9,1,0
20240305T,-1,9,-9,1,0
20240306T,-1,9,-9,1,0
20240307T,1,9,-9,1,0
20240308T,-1,9,-9,1,0
20240311T,-1,9,-9,1,0
20240312T,1,9,-9,1,0
20240313T,1,9,-9,1,0
20240314T,-1,9,-9,1,0
20240315T,-1,9,-9,1,0
20240318T,-1,9,-9,1,0
20240319T,-1,9,-9,1,0
20240320T,1,9,-9,1,0
20240321T,1,9,-9,1,0
20240322T,-1,9,-9,1,0
20240325T,-1,9,-9,1,0
20240326T,-1,9,-9,1,0
20240327T,1,9,-9,1,0
20240328T,1,9,-9,1,0
20240401T,1,9,-9,1,0
20240402T,-1,9,-9,1,0
20240403T,-1,9,-9,1,0
20240404T,-1,9,-9,1,0
20240405T,-1,9,-9,1,0
20240408T,-1,9,-9,1,0
20240409T,-1,9,-9,1,0
20240410T,-1,9,-9,1,0
20240411T,-1,9,-9,1,0
20240412T,-1,9,-9,1,0
20240415T,-1,9,-9,-1,0
20240416T,-1,9,-9,-1,0
20240417T,-1,9,-9,-1,0
20240418T,-1,9,-9,-1,0
20240419T,-1,9,-9,-1,0
20240422T,-1,9,-9,-1,0
20240423T,-1,9,-9,1,0
20240424T,-1,9,-9,1,0
20240425T,-1,9,-9,1,0
20240426T,-1,9,-9,1,0
20240429T,-1,9,-9,1,0
20240430T,-1,9,-9,1,0
20240501T,-1,9,-9,-1,0
20240502T,-1,9,-9,1,0
20240503T,-1,9,-9,1,0
20240506T,1,9,-9,1,0
20240507T,1,9,-9,1,0
20240508T,-1,9,-9,1,0
20240509T,1,9,-9,1,0
20240510T,1,9,-9,1,0
20240513T,-1,9,-9,1,0
20240514T,1,9,-9,1,0
20240515T,1,9,-9,1,0
20240516T,1,9,-9,1,0
20240517T,1,9,-9,1,0
20240520T,1,9,-9,1,0
20240521T,1,9,-9,1,0
20240522T,1,9,-9,1,0
20240523T,1,9,-9,1,0
20240524T,-1,9,-9,1,0
20240528T,-1,9,-9,1,0
20240529T,-1,9,-9,1,0
20240530T,-1,9,-9,1,0
20240531T,-1,9,-9,1,0
20240603T,-1,9,-9,1,0
20240604T,-1,9,-9,1,0
20240605T,1,9,-9,1,0
20240606T,1,9,-9,1,0
20240607T,-1,9,-9,1,0
20240610T,1,9,-9,1,0
20240611T,1,9,-9,1,0
20240612T,1,9,-9,1,0
20240613T,1,9,-9,1,0
20240614T,1,9,-9,1,0
20240617T,1,9,-9,1,0
20240618T,1,9,-9,1,0
20240620T,1,9,-9,1,0
20240621T,-1,9,-9,1,0
20240624T,-1,9,-9,1,0
20240625T,-1,9,-9,1,0
20240626T,-1,9,-9,1,0
20240627T,1,9,-9,1,0
20240628T,-1,9,-9,1,0
20240701T,-1,9,-9,1,0
20240702T,1,9,-9,1,0
20240703T,1,9,-9,1,0
20240704T,1,9,-9,1,0
20240705T,1,9,-9,1,0
20240708T,1,9,-9,1,0
20240709T,1,9,-9,1,0
20240710T,1,9,-9,1,0
20240711T,-1,9,-9,1,0
20240712T,1,9,-9,1,0
20240715T,1,9,-9,1,0
20240716T,1,9,-9,1,0
20240717T,-1,9,-9,1,0
20240718T,-1,9,-9,1,0
20240719T,-1,9,-9,1,0
20240722T,-1,9,-9,1,0
20240723T,-1,9,-9,1,0
20240724T,-1,9,-9,-1,0
20240725T,-1,9,-9,-1,0
20240726T,-1,9,-9,1,0
20240729T,-1,9,-9,1,0
20240730T,-1,9,-9,-1,0
20240731T,-1,9,-9,1,0
20240801T,-1,9,-9,-1,0
20240802T,-1,9,-9,-1,0
20240805T,-1,9,-9,-1,0
20240806T,-1,9,-9,-1,0
20240807T,-1,9,-9,-1,0
20240808T,-1,9,-9,-1,0
20240809T,-1,9,-9,-1,0
20240812T,-1,9,-9,-1,0
20240813T,-1,9,-9,1,0
20240814T,-1,9,-9,1,0
20240815T,1,9,-9,1,0
20240816T,1,9,-9,1,0
20240819T,1,9,-9,1,0
20240820T,1,9,-9,1,0
20240821T,1,9,-9,1,0
20240822T,-1,9,-9,1,0
20240823T,1,9,-9,1,0
20240826T,1,9,-9,1,0
20240827T,1,9,-9,1,0
20240828T,-1,9,-9,1,0
20240829T,1,9,-9,1,0
20240830T,1,9,-9,1,0
20240903T,-1,9,-9,1,0
20240904T,-1,9,-9,1,0
20240905T,-1,9,-9,1,0
20240906T,-1,9,-9,-1,0
20240909T,-1,9,-9,1,0
20240910T,-1,9,-9,1,0
20240911T,-1,9,-9,1,0
20240912T,1,9,-9,1,0
20240913T,1,9,-9,1,0
20240916T,1,9,-9,1,0
20240917T,1,9,-9,1,0
20240918T,-1,9,-9,1,0
20240919T,1,9,-9,1,0
20240920T,-1,9,-9,1,0
20240923T,1,9,-9,1,0
20240924T,1,9,-9,1,0
20240925T,1,9,-9,1,0
20240926T,1,9,-9,1,0
20240927T,1,9,-9,1,0
20240930T,-1,9,-9,1,0
20241001T,-1,9,-9,1,0
20241002T,-1,9,-9,1,0
20241003T,-1,9,-9,1,0
20241004T,-1,9,-9,1,0
20241007T,-1,9,-9,1,0
20241008T,-1,9,-9,1,0
20241009T,-1,9,-9,1,0
20241010T,-1,9,-9,1,0
